category,keywords,sample_pin
Magazines,magazines cover poses vogue,"https://www.pinterest.com.au/pin/78601955982301314/
https://www.pinterest.com.au/pin/277745502009767465/
https://www.pinterest.com.au/pin/751608625325483535
https://www.pinterest.com.au/pin/1011550766278019374/"
Fashion,,"https://www.pinterest.com.au/pin/288371182389171669
https://www.pinterest.com/pin/684124999660150987/
https://www.pinterest.com/pin/414401603226113172/
https://www.pinterest.com/pin/11259067809805451/"
Memes,,"https://www.pinterest.com/pin/1688918602865951/
https://www.pinterest.com/pin/1688918602866017/"
Victoria Secret,,"https://www.pinterest.com.au/pin/302656037468024505
https://www.pinterest.com/pin/295337688077225127/
https://www.pinterest.com/pin/17873729762171390/"
Oscar,"the oscars winners portraits
the oscars winners actors","https://www.pinterest.com/pin/56576539058270451/
https://www.pinterest.com/pin/661255157801286014/
https://www.pinterest.com/pin/4292562120033021/
https://www.pinterest.com/pin/15621929948214799/"
Viking,viking portrait,"https://www.pinterest.com/pin/604186106274609312/
https://www.pinterest.com/pin/120963939982761546/
https://www.pinterest.com/pin/111041947053415076/"
Vintage,vintage portraits of women,"https://www.pinterest.com/pin/846395323731780508/
https://www.pinterest.com/pin/492649948035124/"
Composers,composers portrait,"https://www.pinterest.com/pin/5277724546774732/
https://www.pinterest.com/pin/17732992273842749/
https://www.pinterest.com/pin/665336544963115516/
https://www.pinterest.com/pin/844776842617131920/
https://www.pinterest.com/pin/56506170336615231/"
Soccer,legendary soccer portrait,
Hero,,"https://www.pinterest.com.au/pin/851813717036024648/
https://www.pinterest.com.au/pin/2744449760619550/
https://www.pinterest.com.au/pin/1055599902489859/
https://www.pinterest.com.au/pin/7318418136641025/"
Harry Potter,harry potter,"https://www.pinterest.com.au/pin/492649949952276/
https://www.pinterest.com.au/pin/149181806396195370/
https://www.pinterest.com.au/pin/8373949298612465/"